,Title,Release_Year,Genre,IMDB_Rating,Runtime,Age_Rating,Country_Origin,Available_Streaming_Services,Link,Type(Movie/TV_Show)
0,Teri Baaton Mein Aisa Uljha Jiya,2024,"Comedy, Drama, Romance, Science-Fiction",6.4,2h 21min,Na,India,Amazon Prime Video,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,Movie
1,Premalu,2024,"Comedy, Romance",7.9,2h 36min,U,India,aha,https://www.justwatch.com/in/movie/premalu,Movie
2,Article 370,2024,"Action & Adventure, Drama, Mystery & Thriller",8.1,2h 38min,Na,India,Netflix,https://www.justwatch.com/in/movie/article-370,Movie
3,Laapataa Ladies,2024,"Comedy, Drama",8.5,2h 2min,UA,India,Netflix,https://www.justwatch.com/in/movie/laapataa-ladies,Movie
4,Hanu-Man,2024,"Science-Fiction, Fantasy, Action & Adventure, Comedy",7.9,2h 39min,Na,India,"Jio Cinema,Zee5",https://www.justwatch.com/in/movie/hanu-man,Movie
5,Dune: Part Two,2024,"Action & Adventure, Science-Fiction, Drama",8.7,2h 47min,Na,United States,,https://www.justwatch.com/in/movie/dune-part-two,Movie
6,Oppenheimer,2023,"Drama, History",8.3,3h 0min,UA,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/movie/oppenheimer,Movie
7,Crew,2024,"Comedy, Drama",6.5,1h 58min,UA,India,,https://www.justwatch.com/in/movie/the-crew-2024,Movie
8,Anatomy of a Fall,2023,"Mystery & Thriller, Crime, Drama",7.7,2h 32min,Na,France,Amazon Prime Video,https://www.justwatch.com/in/movie/anatomie-dune-chute,Movie
9,Amar Singh Chamkila,2024,"Romance, Drama, Music & Musical",8.0,2h 25min,Na,India,,https://www.justwatch.com/in/movie/amar-singh-chamkila,Movie
10,Manjummel Boys,2024,"Mystery & Thriller, Drama",8.6,2h 15min,UA,Na,,https://www.justwatch.com/in/movie/manjummel-boys,Movie
11,Anyone But You,2023,"Comedy, Romance",6.2,1h 43min,A,"United States, Australia",Netflix,https://www.justwatch.com/in/movie/anyone-but-you,Movie
12,Animal,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.2,3h 21min,A,India,Netflix,https://www.justwatch.com/in/movie/animal-2022,Movie
13,Dune,2021,"Science-Fiction, Action & Adventure, Drama",8.0,2h 35min,UA,United States,Netflix,https://www.justwatch.com/in/movie/dune-2021,Movie
14,Fighter,2024,"Action & Adventure, Mystery & Thriller, War & Military",6.2,2h 47min,UA,India,Netflix,https://www.justwatch.com/in/movie/fighter-2022,Movie
15,Monkey Man,2024,"Mystery & Thriller, Crime, Action & Adventure",,2h 1min,Na,"United States, Canada, Singapore",,https://www.justwatch.com/in/movie/monkey-man,Movie
16,12th Fail,2023,Drama,9.0,2h 27min,Na,India,Hotstar,https://www.justwatch.com/in/movie/12th-fail,Movie
17,Kung Fu Panda 4,2024,"Animation, Action & Adventure, Comedy, Kids & Family, Fantasy",6.3,1h 34min,Na,United States,,https://www.justwatch.com/in/movie/kung-fu-panda-4,Movie
